respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.03,0.36
26708,0.0,0.02
26709,0.36,0.96
26710,0.632,0.9191666666666667
26711,0.38,0.65
26712,0.6,0.85
26713,0.56,0.54
26714,0.07,0.16
26715,0.0,0.05
26716,0.05,0.89
26717,0.06,0.51
26718,0.21,0.43
26719,0.11,0.87
26720,0.0,0.12
26721,0.48,0.75
26722,0.02,0.13
26723,0.75,0.81
26724,0.06,0.7569999999999999
26725,0.11,0.24
26726,0.08,0.05
26727,0.38071428571428567,0.93
26728,0.19,0.6233333333333334
26729,0.08,0.3475
26730,0.09,0.24
26731,0.01,0.29
26732,0.21,0.11
26733,0.96,0.9
26734,0.79,0.52
26735,0.09,0.45
26736,0.01,0.05
26737,0.03,0.13
26738,0.67,0.83
26739,0.17,0.2425
26740,0.12,0.11
26741,0.49,0.93
26742,0.12,0.4453015873015873
26743,0.05,0.36
26744,0.17,0.75
26745,0.14,0.95
26746,0.22549999999999998,0.22
26747,0.04,0.06
26748,0.11,0.26
26749,0.02125,0.72
26750,0.76,0.735
26751,0.48,0.85
26752,0.02,0.15
26753,0.05,0.435
26754,0.14,0.44
26755,0.09,0.4
26756,0.02,0.15
26757,0.58,0.71
26758,0.46,0.79
26759,0.05,0.04
26760,0.05,0.06
26761,0.39,0.66
26762,0.22,0.68
26763,0.77,0.87
26764,0.9,0.95
26765,0.34,0.42
26766,0.04,0.18525
26767,0.75,0.61
26768,0.05,0.53
26769,0.18,0.36
26770,0.18,0.45
26771,0.03,0.31
26772,0.02,0.28
26773,0.18,0.41
26774,0.06,0.57
26775,0.0,0.44
26776,0.46,0.315
26777,0.11,0.9166666666666665
26778,0.2,0.17
26779,0.11,0.56
26780,0.42,0.8933333333333333
26781,0.2,0.42
26782,0.08,0.22
26783,0.04,0.11
26784,0.6,0.82
26785,0.48,0.67
26786,0.04,0.285
26787,0.12,0.67
26788,0.18,0.93
26789,0.09,0.29
26790,0.08,0.19
26791,0.01,0.04
26792,0.15,0.53
26793,0.04,0.9
26794,0.75,0.9
26795,0.1,0.65
26796,0.02,0.01
26797,0.24,0.4766666666666666
26798,0.27,0.25
26799,0.47,0.21
26800,0.17,0.98
26801,0.12,0.23
26802,0.05,0.095
26803,0.0,0.0
26804,0.07,0.05
26805,0.02,0.17
26806,0.06,0.9333333333333332
26807,0.73,0.88
26808,0.34,0.43666666666666665
26809,0.6,0.14
26810,0.01,0.1
26811,0.01,0.02
26812,0.25,0.66
26813,0.68,0.5
26814,0.02,0.73
26815,0.0,0.05
26816,0.05,0.26
26817,0.2866666666666666,0.49
26818,0.06,0.41
26819,0.34,0.28
26820,0.235,0.36
26821,0.06,0.35
26822,0.19,0.89
26823,0.37,0.46
26824,0.02,0.81
26825,0.51,0.65
26826,0.12,0.65
26827,0.19,0.4
26828,0.17,0.37
26829,0.46,0.84
26830,0.06,0.74
26831,0.34,0.82
26832,0.05,0.87
26833,0.02,0.74
26834,0.56,0.53
26835,0.75,0.93
26836,0.22,0.67
26837,0.15,0.05
26838,0.05,0.3811666666666666
26839,0.17,0.42
26840,0.12,0.15
26841,0.58,0.64
26842,0.04,0.15
26843,0.04,0.05
26844,0.02,0.51
26845,0.1,0.88
26846,0.07,0.9
26847,0.32,0.1
26848,0.15,0.68
26849,0.22,0.37
26850,0.68,0.45
26851,0.0,0.0
26852,0.01,0.01
26853,0.54,0.41
26854,0.02,0.11
26855,0.59,0.77
26856,0.25,0.06
26857,0.6,0.18
26858,0.09,0.5
26859,0.017333333333333333,0.035516233766233765
26860,0.26,0.15
26861,0.06,0.12
26862,0.065,0.35
26863,0.11,0.41
26864,0.45,0.22
26865,0.0,0.02
26866,0.16,0.48
26867,0.05,0.21
26868,0.82,0.95
26869,0.05,0.24
26870,0.64,0.84
26871,0.08,0.06
26872,0.18,0.56
26873,0.28,0.56
26874,0.1,0.15533333333333332
26875,0.64,0.82
26876,0.12,0.07
26877,0.32916666666666666,0.12
26878,0.21,0.58
26879,0.09,0.04
26880,0.29,0.18
26881,0.04,0.03
26882,0.02,0.08
26883,0.1,0.04
26884,0.305,0.06
26885,0.3,0.73
26886,0.16,0.71375
26887,0.6133333333333334,0.89
26888,0.97,0.95
26889,0.04,0.07
26890,0.35,0.45
26891,0.17,0.64
26892,0.15666666666666665,0.67
26893,0.01,0.03
26894,0.0775,0.17
26895,0.06,0.94
26896,0.0,0.04
26897,0.06,0.38
