respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.49,0.19
26708,0.0,0.04
26709,0.15,0.74
26710,0.77,0.99
26711,0.375,0.71
26712,0.7270555555555557,0.92
26713,0.28,0.56
26714,0.25216666666666665,0.12
26715,0.0,0.03
26716,0.04,0.71
26717,0.02,0.42
26718,0.28,0.61
26719,0.2,0.92
26720,0.01,0.28
26721,0.42,0.63
26722,0.06,0.13
26723,0.83,0.71
26724,0.0,0.79
26725,0.02,0.115
26726,0.08,0.11
26727,0.47,0.85
26728,0.29,0.43
26729,0.02,0.26
26730,0.01,0.22
26731,0.03,0.35
26732,0.15,0.24
26733,1.0,0.99
26734,0.88,0.53
26735,0.08,0.47
26736,0.02,0.08
26737,0.04,0.15
26738,0.7966666666666667,0.89
26739,0.05,0.2
26740,0.2,0.14
26741,0.06,0.83
26742,0.14,0.35
26743,0.04,0.29
26744,0.06,0.74
26745,0.1,0.82
26746,0.33643073593073586,0.49166666666666664
26747,0.01,0.08
26748,0.06,0.15
26749,0.06,0.41700000000000004
26750,0.23,0.94
26751,0.654547619047619,0.99
26752,0.12,0.21
26753,0.15,0.22
26754,0.26,0.32666666666666666
26755,0.13,0.43
26756,0.0,0.06
26757,0.54,0.53
26758,0.12,0.81
26759,0.03,0.21
26760,0.0,0.04
26761,0.26,0.69
26762,0.22,0.76
26763,0.76,0.95
26764,0.97,0.92
26765,0.04,0.42
26766,0.11,0.12
26767,0.84,0.43833333333333335
26768,0.04,0.57
26769,0.08,0.28
26770,0.01,0.47
26771,0.0,0.29
26772,0.02,0.56
26773,0.03,0.53
26774,0.02,0.46
26775,0.01,0.3770833333333334
26776,0.64,0.46
26777,0.2333333333333333,0.97
26778,0.11666666666666665,0.12666666666666665
26779,0.23,0.6175
26780,0.13,0.88
26781,0.07680952380952381,0.35
26782,0.09,0.45
26783,0.0,0.07666666666666666
26784,0.195,0.84
26785,0.77,0.53
26786,0.01,0.25
26787,0.04,0.5016666666666666
26788,0.17,0.87
26789,0.01,0.25
26790,0.02,0.17
26791,0.05,0.0
26792,0.06,0.51
26793,0.06,0.98
26794,0.365,0.81
26795,0.09,0.79
26796,0.0,0.04
26797,0.21,0.69
26798,0.63,0.19
26799,0.17,0.36
26800,0.15066666666666664,1.0
26801,0.18,0.04
26802,0.13,0.14
26803,0.1291436618936619,0.13416666666666666
26804,0.01,0.06
26805,0.02,0.43
26806,0.0,0.89
26807,0.46,0.73
26808,0.18,0.4873333333333333
26809,0.58,0.21
26810,0.01,0.06
26811,0.0,0.04
26812,0.2,0.8
26813,0.64,0.48
26814,0.0,0.71
26815,0.0,0.0
26816,0.02,0.15
26817,0.01,0.6213333333333333
26818,0.34,0.18
26819,0.185,0.09
26820,0.03,0.48
26821,0.02,0.84
26822,0.1,0.79
26823,0.26,0.36
26824,0.01,0.635
26825,0.44,0.71
26826,0.18,0.72
26827,0.03,0.18
26828,0.125,0.31
26829,0.76,0.98
26830,0.05,0.66
26831,0.188,0.74
26832,0.01,0.8
26833,0.1,0.62
26834,0.39,0.51
26835,0.54,0.95
26836,0.2125,0.79
26837,0.13,0.07
26838,0.0,0.08166666666666668
26839,0.13666666666666666,0.33
26840,0.03,0.15
26841,0.36,0.35
26842,0.06,0.19
26843,0.01,0.07
26844,0.01,0.32
26845,0.06,0.7597142857142856
26846,0.02,0.8066666666666668
26847,0.32,0.11
26848,0.02,0.7641666666666667
26849,0.36,0.38
26850,0.54,0.61
26851,0.0,0.0
26852,0.05,0.07
26853,0.2,0.15999999999999998
26854,0.0,0.13
26855,0.38,0.81
26856,0.13,0.15
26857,0.63,0.31
26858,0.09,0.45
26859,0.0,0.1
26860,0.25,0.15
26861,0.02,0.12
26862,0.06,0.36
26863,0.03,0.21
26864,0.4266666666666667,0.24
26865,0.01,0.0
26866,0.01,0.63
26867,0.19,0.13
26868,0.92,0.92
26869,0.01,0.47
26870,0.8,0.86
26871,0.02,0.03
26872,0.05,0.49
26873,0.02,0.45
26874,0.0025,0.055999999999999994
26875,0.5133333333333333,0.77
26876,0.2025,0.05
26877,0.34,0.43
26878,0.1,0.44
26879,0.06,0.06
26880,0.34,0.8
26881,0.01,0.04
26882,0.0,0.05
26883,0.04416666666666666,0.24
26884,0.69,0.0665
26885,0.13,0.52
26886,0.19,0.64
26887,0.69,0.97
26888,0.94,0.98
26889,0.0,0.22
26890,0.08,0.47
26891,0.89,0.8266666666666667
26892,0.06,0.82
26893,0.0,0.06
26894,0.17,0.08
26895,0.01,0.91
26896,0.01,0.15
26897,0.02,0.4
26898,0.1,0.6
26899,0.0,0.12
26900,0.12,0.29333333333333333
26901,0.11,0.41
26902,0.13,0.77
26903,0.13,0.2783809523809524
26904,0.06,0.5891666666666666
26905,0.3,0.81
26906,0.01,0.63
26907,0.01,0.39
26908,0.03,0.83
26909,0.11,0.15
26910,0.1,0.5075
26911,0.06,0.73
26912,0.48,0.82
26913,0.87,0.96
26914,0.01,0.2
26915,0.11866666666666667,0.55
26916,0.02,0.05
26917,0.09,0.16
26918,1.0,1.0
26919,0.11,0.55
26920,0.0,0.11
26921,0.1775,0.86
26922,0.06,0.84
26923,0.25,0.67
26924,0.99,0.9516666666666667
26925,0.16,0.88
26926,0.55,0.56
26927,0.44,0.77
26928,0.02,0.53
26929,0.09,0.34
26930,0.7,0.85
26931,0.19833333333333336,0.33
26932,0.19,0.86
26933,0.02,0.55
26934,0.36,0.73
26935,0.06,0.54
26936,0.47,0.34
26937,0.11,0.9275
26938,0.07,0.1
26939,0.08,0.08
26940,0.16,0.12
26941,0.09,0.5308333333333333
26942,0.91,0.804
26943,0.11,0.6975
26944,0.02,0.05
26945,0.0,0.4833333333333333
26946,0.04,0.52
26947,0.07400000000000001,0.86
26948,0.04,0.06
26949,0.02,0.13
26950,0.01,0.54
26951,0.05,0.622
26952,0.96,0.93
26953,0.33,0.67
26954,0.0,0.02
26955,0.07,0.67
26956,0.06000000000000001,0.1075
26957,0.05,0.88
26958,0.1125,0.64
26959,0.06,0.32
26960,0.02,0.0
26961,0.3266666666666667,0.34
26962,0.05,0.69
26963,0.14,0.33
26964,0.12,0.23
26965,0.54,0.91
26966,0.02,0.07
26967,0.03,0.59
26968,0.05,0.91
26969,0.21,0.3
26970,0.76,0.55
26971,0.0,0.0
26972,0.04,0.1
26973,0.21,0.2
26974,0.2775,0.25
26975,0.06,0.8343333333333334
26976,0.86,0.41166666666666674
26977,0.05,0.34
26978,0.03,0.66
26979,0.8373333333333334,0.98
26980,0.03,0.1
26981,0.11,0.51
26982,0.9,0.91
26983,0.37,0.49
26984,0.01,0.15
26985,0.03,0.25
26986,0.0,0.51
26987,0.03,0.057999999999999996
26988,0.0,0.14
26989,0.23,0.83
26990,0.0,0.24
26991,0.07,0.39
26992,0.31,0.49
26993,0.02,0.8550000000000001
26994,0.19,0.51
26995,0.07,0.23
26996,0.53,0.48
26997,0.13,0.08
26998,0.05,0.18
26999,0.35,0.51
27000,0.01,0.12554761904761905
27001,0.02,0.81
27002,0.0,0.32
27003,0.0,0.07
27004,0.04666666666666667,0.12
27005,0.09,0.66
27006,0.87,0.8
27007,0.04,0.39
27008,0.05,0.08
27009,0.17,0.7274880952380953
27010,0.0,0.065
27011,0.02,0.06
27012,0.36,0.26
27013,0.02,0.08
27014,0.01,0.5175
27015,0.7698357753357753,0.1733333333333333
27016,0.07,0.14
27017,0.4458333333333333,0.84
27018,0.01,0.14
27019,0.97,1.0
27020,0.58,0.36
27021,0.32,0.52
27022,0.06,0.24
27023,0.07,0.16
27024,0.13,0.5
27025,0.2,0.15
27026,0.0,0.24
27027,0.02,0.73
27028,0.17,0.86
27029,0.12,0.23
27030,0.38666666666666666,0.42
27031,0.29,0.71
27032,0.07,0.67
27033,0.56,0.5805
27034,0.04,0.44
27035,0.01,0.16
27036,0.27,0.6
27037,0.58,0.88
27038,0.0,0.02
27039,0.76,0.9
27040,0.11,0.106
27041,0.08,0.6
27042,0.01,0.67
27043,0.24,0.61
27044,0.02,0.15
27045,0.06333333333333332,0.57
27046,0.0,0.19
27047,0.46,0.61
27048,0.14,0.7
27049,0.51,0.74
27050,0.025,0.77
27051,0.68,0.11
27052,0.03,0.245
27053,0.92,0.94
27054,0.01,0.03
27055,0.07,0.8
27056,0.01,0.07
27057,0.02,0.03
27058,0.95,0.95
27059,0.0,0.09
27060,0.0,0.21666666666666665
27061,0.01,0.39
27062,0.09,0.3433333333333334
27063,0.11,0.58
27064,0.03,0.49
27065,0.12,0.35
27066,0.13,0.4525
27067,0.84,0.64
27068,0.52,0.86
27069,0.76,0.89
27070,0.0,0.04
27071,0.04,0.08
27072,0.15,0.76
27073,0.1,0.95
27074,0.05,0.265
27075,0.6679999999999999,0.67
27076,0.81,0.87
27077,0.02,0.32
27078,0.13083333333333333,0.8625
27079,0.11,0.8
27080,0.08,0.28
27081,0.03,0.68
27082,0.29333333333333333,0.39
27083,0.36,0.23
27084,0.79,0.67
27085,0.04,0.06
27086,0.01,0.13
27087,0.0,0.26
27088,0.35,0.53
27089,0.23,0.14
27090,0.26,0.635
27091,0.54,0.29
27092,0.08542857142857142,0.2
27093,0.17,0.18
27094,0.02,0.16
27095,0.0,0.42333333333333334
27096,0.19,0.31
27097,0.53,0.43
27098,0.83,0.94
27099,0.21,0.56
27100,0.13,0.79
27101,0.47,0.77
27102,0.09,0.8
27103,0.06,0.05
27104,0.555,0.65
27105,0.03,0.47
27106,0.73,0.845
27107,0.6525,0.7053333333333334
27108,0.73,0.0125
27109,0.05,0.02
27110,0.0,0.51
27111,0.1,0.77
27112,0.42,0.74
27113,0.09,0.04
27114,0.0,0.03
27115,0.77,0.81
